file,orig_split,group,label
E:\437 project\dataset\test\fake\fake_00135_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00136_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00138_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00139_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00140_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00141_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00143_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00144_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00145_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00146_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00147_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00150_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00151_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00152_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00153_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00154_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00155_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00156_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00157_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00158_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00160_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00161_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00162_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00163_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00164_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00165_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00167_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00168_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00169_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00172_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00173_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00174_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00176_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00178_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00179_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00180_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00181_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00182_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00184_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00185_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00186_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00187_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00188_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00189_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00191_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00192_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00195_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00196_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00198_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00199_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00200_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00201_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00204_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00206_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00207_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00208_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00209_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00210_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00211_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00212_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00213_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00218_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00220_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00221_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00222_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00223_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00225_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00226_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00227_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00228_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00230_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00231_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00232_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00233_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00234_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00235_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00236_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00237_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00238_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00239_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00240_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00241_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00242_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00243_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00244_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00245_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00247_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00248_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00251_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00252_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00253_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00254_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00255_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00256_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00257_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00258_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00259_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00262_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00263_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00264_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00265_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00266_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00268_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00269_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00270_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00271_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00272_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00274_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00275_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00276_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00277_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00278_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00279_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00280_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00281_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00282_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00283_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00284_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00285_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00286_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00287_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00288_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00289_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00290_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00292_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00293_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00294_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00295_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00297_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00298_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00299_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00300_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00301_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00302_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00303_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00305_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00306_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00307_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00308_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00309_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00310_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00311_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00312_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00313_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00314_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00315_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00316_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00317_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00318_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00319_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00320_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00321_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00322_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00324_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00326_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00327_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00328_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00329_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00330_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00331_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00332_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00334_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00336_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00337_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00338_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00339_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00340_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00341_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00342_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00343_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00344_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00345_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00347_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00348_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00349_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00350_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00352_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00353_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00354_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00355_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00356_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00357_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00358_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00359_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00360_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00361_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00362_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00363_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00364_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00365_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00366_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00367_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00368_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00369_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00370_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00371_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00372_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00373_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00374_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00375_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00376_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00377_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00378_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00379_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00380_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00381_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00384_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00385_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00386_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00387_DALLE3.jpg,test,fake,dalle3
E:\437 project\dataset\test\fake\fake_00388_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00389_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00392_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00393_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00394_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00395_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00396_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00397_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00398_SDXL.jpg,test,fake,sdxl
E:\437 project\dataset\test\fake\fake_00399_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00400_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00401_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00402_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00403_SD21.jpg,test,fake,sd21
E:\437 project\dataset\test\fake\fake_00405_SD3.jpg,test,fake,sd3
E:\437 project\dataset\test\fake\fake_00406_Midjourney.jpg,test,fake,midjourney
E:\437 project\dataset\test\fake\fake_00407_DALLE3.jpg,test,fake,dalle3
